Distance_(pixels),Gray_Value
0,27875.703
1,28112.211
2,28283.311
3,28185.600
4,28270.381
5,28499.178
6,28417.588
7,28279.818
8,28102.775
9,27972.480
10,27948.926
11,28356.955
12,28620.424
13,28542.049
14,28335.980
15,28624.998
16,28924.863
17,28920.652
18,29030.586
19,29276.334
20,29418.746
21,29427.758
22,29407.268
23,29343.213
24,29427.779
25,29223.039
26,29185.789
27,29100.844
28,29409.506
29,29415.592
30,29410.281
31,29538.564
32,29655.910
33,30022.686
34,29857.988
35,29704.600
36,29707.016
37,29661.629
38,29590.750
39,29056.119
40,28699.080
41,28814.451
42,28936.422
43,28608.270
44,28413.752
45,28244.012
46,28175.967
47,28062.500
48,27991.223
49,28023.797
50,27842.051
51,28209.430
52,28552.104
53,28065.553
54,27795.291
55,27929.273
56,27597.855
57,27494.041
58,27342.596
59,27377.822
60,27407.348
61,27399.516
62,27464.666
63,27499.002
64,27698.023
