Distance_(pixels),Gray_Value
0,27782.297
1,27779.676
2,27729.240
3,27912.641
4,28239.496
5,28314.496
6,28075.908
7,28018.543
8,28212.410
9,28205.805
10,27889.668
11,27885.697
12,27966.846
13,28073.223
14,28171.709
15,28409.785
16,28431.656
17,28487.156
18,28478.584
19,28322.131
20,28411.873
21,28769.031
22,28835.717
23,28969.768
24,29119.312
25,29293.666
26,29099.084
27,28844.602
28,29116.068
29,29373.340
30,29422.275
31,29683.648
32,29561.990
33,29869.562
34,29922.818
35,29954.459
36,29931.973
37,29894.859
38,29484.656
39,29161.115
40,29071.545
41,28852.951
42,28738.723
43,28331.031
44,28330.820
45,28426.436
46,28438.389
47,28323.117
48,28381.453
49,28512.561
50,28299.740
51,28347.850
52,28232.207
53,27977.262
54,27974.000
55,27707.062
56,27686.973
57,27602.822
58,27650.824
59,27752.854
60,27737.930
61,27565.172
62,27585.020
63,27620.893
64,27891.623
