Distance_(pixels),Gray_Value
0,27831.984
1,27850.037
2,27705.496
3,27698.936
4,27747.773
5,27690.641
6,27789.850
7,28000.518
8,28340.936
9,28505.590
10,28462.666
11,28222.752
12,28095.469
13,28189.197
14,28148.725
15,27922.484
16,28063.582
17,28321.984
18,28624.529
19,29247.738
20,29424.742
21,29454.637
22,29401.129
23,29402.199
24,29832.170
25,29716.699
26,29500.566
27,29756.799
28,29546.707
29,29640.957
30,29372.156
31,29258.730
32,29413.133
33,29425.010
34,29115.725
35,28738.955
36,28914.467
37,28837.883
38,28678.180
39,28375.246
40,28148.330
41,27960.803
42,27761.318
43,28082.854
44,28023.117
45,28115.064
46,28377.777
47,28339.197
48,28349.889
49,28267.074
50,28090.766
51,28072.926
52,28022.887
53,28037.270
54,27850.086
55,27635.414
56,27663.234
57,27846.764
58,27995.490
59,27943.758
60,28008.191
61,27958.170
62,28253.365
63,28381.184
64,28186.346
