Distance_(pixels),Gray_Value
0,27838.838
1,27898.561
2,27805.189
3,27812.727
4,27746.492
5,27906.375
6,27955.668
7,27869.549
8,27935.875
9,27831.990
10,27824.562
11,27875.180
12,28114.660
13,28211.592
14,28310.766
15,28135.150
16,28161.658
17,28481.352
18,28604.119
19,28732.686
20,28657.902
21,28746.059
22,28738.490
23,29027.646
24,29350.238
25,29714.031
26,29818.066
27,29963.557
28,29972.898
29,29771.768
30,29730.078
31,29711.582
32,29668.277
33,29513.223
34,29275.080
35,29312.459
36,29218.736
37,29245.166
38,29042.602
39,28761.703
40,28892.289
41,29102.217
42,28734.691
43,28387.297
44,28442.930
45,28269.148
46,28345.639
47,28126.268
48,27890.529
49,27933.646
50,27934.158
51,28215.490
52,28280.266
53,28275.008
54,28479.527
55,28417.350
56,28279.955
57,28217.834
58,28199.488
59,28134.117
60,27855.051
61,27557.201
62,27782.535
63,28185.756
64,28341.424
