Distance_(pixels),Gray_Value
0,27681.551
1,27657.393
2,27866.793
3,28038.846
4,28223.645
5,28116.182
6,28069.486
7,28118.330
8,28102.598
9,27940.875
10,27865.570
11,27668.266
12,27798.371
13,27992.793
14,28059.064
15,28179.941
16,28236.674
17,28378.049
18,28405.994
19,28550.352
20,28752.830
21,28880.135
22,28883.842
23,29057.805
24,29006.281
25,29331.141
26,29386.213
27,29361.658
28,29482.381
29,29535.498
30,29469.236
31,29537.719
32,29630.672
33,29769.793
34,29676.680
35,29700.098
36,29413.746
37,29149.605
38,29254.447
39,29096.055
40,28878.287
41,28781.500
42,28535.775
43,28379.773
44,28125.451
45,28084.111
46,27963.633
47,27843.318
48,27916.393
49,27934.137
50,27869.164
51,27745.660
52,27736.107
53,27738.535
54,27783.098
55,27761.639
56,27688.992
57,27806.479
58,27884.285
59,27677.604
60,27536.242
61,27557.988
62,27648.275
63,27589.035
