Distance_(pixels),Gray_Value
0,27885.066
1,28208.400
2,28127.227
3,28064.887
4,28345.365
5,28314.455
6,28164.854
7,28087.762
8,28248.250
9,28362.152
10,28213.928
11,28089.008
12,28323.135
13,28528.949
14,28445.043
15,28390.285
16,28679.354
17,28725.061
18,28840.221
19,28703.596
20,28825.346
21,28911.865
22,28969.672
23,29161.143
24,29254.639
25,29220.838
26,28901.322
27,29015.256
28,29337.457
29,29356.852
30,29543.801
31,29660.107
32,29903.184
33,29842.734
34,29720.357
35,29779.871
36,29693.057
37,29529.945
38,29140.969
39,28875.219
40,28871.551
41,28628.430
42,28508.471
43,28362.043
44,28157.986
45,28273.086
46,28397.846
47,28382.990
48,28329.025
49,28152.982
50,28139.586
51,28028.471
52,27724.676
53,27750.541
54,28057.051
55,28040.314
56,27785.490
57,27761.223
58,27779.982
59,27458.590
60,27211.342
61,27303.580
62,27617.242
63,27639.023
64,27435.482
