Distance_(inches),Gray_Value
4.90278,38.668
4.91667,31.483
4.93056,30.794
4.94445,28.205
4.95834,24.223
4.97222,25.739
4.98611,29.113
5.00000,27.173
5.01389,28.014
5.02778,29.361
5.04167,33.095
5.05556,30.886
5.06945,33.807
5.08334,31.291
5.09722,33.386
5.11111,34.859
5.12500,33.327
5.13889,31.300
5.15278,32.375
5.16667,33.185
5.18056,30.701
5.19445,30.312
5.20834,28.856
5.22222,30.812
5.23611,29.833
5.25000,33.209
5.26389,28.240
5.27778,29.639
5.29167,32.263
5.30556,37.391
5.31945,37.253
5.33334,35.514
5.34722,31.058
5.36111,27.549
5.37500,28.293
5.38889,27.903
5.40278,29.527
5.41667,30.254
5.43056,36.401
5.44445,37.893
5.45834,35.286
5.47222,33.492
5.48611,33.530
5.50000,34.237
5.51389,31.108
5.52778,31.748
5.54167,35.897
5.55556,33.806
5.56945,35.287
5.58334,32.763
5.59722,37.374
5.61111,40.707
5.62500,39.258
5.63889,39.384
5.65278,40.462
5.66667,45.134
5.68056,57.411
5.69445,61.884
5.70834,73.994
5.72223,99.356
5.73611,127.915
5.75000,160.457
5.76389,188.613
5.77778,179.368
5.79167,162.188
5.80556,149.819
5.81945,128.805
5.83334,110.887
5.84723,106.281
5.86111,94.831
5.87500,79.110
5.88889,72.509
5.90278,74.880
5.91667,86.863
5.93056,109.299
5.94445,100.137
5.95834,100.682
5.97223,96.578
5.98611,73.383
6.00000,67.088
6.01389,55.063
6.02778,53.275
6.04167,53.123
6.05556,42.616
6.06945,40.513
6.08334,38.180
6.09723,37.388
6.11111,40.215
6.12500,42.450
6.13889,38.136
6.15278,31.819
6.16667,28.675
6.18056,28.597
6.19445,33.969
6.20834,34.582
6.22223,31.680
6.23611,30.106
6.25000,30.399
6.26389,23.556
6.27778,27.693
6.29167,32.451
6.30556,29.874
6.31945,28.866
6.33334,28.411
6.34723,30.752
6.36111,27.118
6.37500,23.654
6.38889,22.979
6.40278,25.439
6.41667,27.534
6.43056,26.062
6.44445,28.270
6.45834,27.839
6.47223,35.328
6.48611,29.947
6.50000,26.046
6.51389,33.032
6.52778,30.281
6.54167,28.082
6.55556,31.906
6.56945,36.961
6.58334,36.576
6.59723,33.294
6.61111,29.826
6.62500,28.627
6.63889,29.821
6.65278,29.469
6.66667,33.553
6.68056,32.770
6.69445,35.409
6.70834,31.758
6.72223,29.477
6.73611,29.210
6.75000,34.056
6.76389,38.470
6.77778,39.476
6.79167,39.496
6.80556,40.051
6.81945,41.320
6.83334,45.636
6.84723,57.379
6.86111,58.949
6.87500,78.439
6.88889,83.790
6.90278,70.123
6.91667,72.299
6.93056,74.602
6.94445,68.376
6.95834,66.728
6.97223,70.535
6.98611,65.778
7.00000,62.916
7.01389,56.135
7.02778,57.865
7.04167,52.817
7.05556,54.725
7.06945,60.840
7.08334,72.339
7.09723,71.641
7.11111,68.226
7.12500,66.223
7.13889,64.330
7.15278,63.434
7.16667,52.408
7.18056,39.910
7.19445,34.936
7.20834,35.511
7.22223,29.876
7.23611,25.370
7.25000,24.762
7.26389,23.573
7.27778,27.786
7.29167,31.259
7.30556,28.679
7.31945,25.752
7.33334,26.667
7.34723,24.660
7.36111,25.818
7.37500,27.357
7.38889,25.441
7.40278,20.951
7.41667,22.648
7.43056,21.983
7.44445,21.076
7.45834,23.511
7.47223,25.111
7.48611,25.049
7.50000,21.707
7.51389,18.116
7.52778,16.746
7.54167,18.640
7.55556,17.891
7.56945,17.905
7.58334,18.412
7.59723,17.851
7.61111,19.608
7.62500,18.794
7.63889,18.603
7.65278,19.595
7.66667,21.093
7.68056,20.805
7.69445,20.342
7.70834,17.217
7.72223,16.718
7.73611,19.799
7.75000,22.991
7.76389,16.498
7.77778,18.504
7.79167,19.190
7.80556,22.822
7.81945,22.876
7.83334,21.923
7.84723,21.025
7.86111,21.229
