Distance_(pixels),Gray_Value
0,28794.898
1,28924.781
2,29099.809
3,29295.998
4,29576.346
5,29996.830
6,30658.012
7,31138.588
8,31240.203
9,31455.209
10,31860.230
11,31771.904
12,31726.834
13,31941.525
14,31786.842
15,31545.281
16,31747.400
17,31819.814
18,31907.184
19,31771.049
20,31652.701
21,31507.086
22,31816.342
23,31805.783
24,31507.441
25,31413.023
26,31353.854
27,30967.580
28,30372.174
29,29669.820
30,29213.410
31,29039.625
32,28843.895
33,28661.184
34,28670.906
