Distance_(pixels),Gray_Value
0,28165.016
1,28540.859
2,28865.885
3,28681.695
4,29053.066
5,29658.141
6,30530.605
7,30995.350
8,31554.586
9,31779.771
10,31569.348
11,31512.693
12,31581.732
13,31344.412
14,31188.639
15,31516.340
16,31608.330
17,31720.904
18,32180.232
19,31926.285
20,31486.533
21,31808.605
22,32048.006
23,31777.076
24,31495.398
25,31501.461
26,31296.193
27,31005.135
28,30421.018
29,29865.396
30,29461.018
31,28960.643
32,28906.154
33,29178.355
34,29088.771
35,29361.734
